,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia,uc
156972,18075,-103.954,21.0403,0.0,22.06464666195532,9.345267399919912,4,6.032323330977661
156973,18076,-103.826,21.0403,0.0,21.68974534394249,9.031713570309178,4,5.844872671971245
156974,18077,-103.699,21.0403,0.0,20.10152703308812,7.7843146394664755,4,5.050763516544061
156975,18078,-103.571,21.0403,0.0,20.44234641309979,8.295543709483976,4,5.221173206549896
156976,18079,-103.444,21.0403,0.0,21.778358382745523,9.399798500721776,4,5.889179191372762
156977,18080,-103.316,21.0403,0.0,21.233047374726862,9.14077577191291,4,5.616523687363431
156978,18081,-103.189,21.0403,0.0,19.842504304279245,8.40460591108771,4,4.921252152139623
156979,18082,-103.061,21.0403,0.0,18.833678939444717,8.336442035085376,4,4.416839469722358
156980,18083,-102.934,21.0403,0.0,19.242662195458728,8.575015601093543,4,4.621331097729364
156981,18084,-102.806,21.0403,0.0,19.590297963070626,8.881753043104043,4,4.795148981535313
156982,18085,-102.679,21.0403,0.0,18.90184281544705,8.370523973086543,4,4.450921407723525
156983,18086,-102.551,21.0403,0.0,18.833678939444717,8.799956391901244,4,4.416839469722358
156984,18087,-102.424,21.0403,0.0,18.77233145104262,8.990815244707777,4,4.386165725521311
156985,18088,-102.296,21.0403,0.0,18.46559400903212,8.663628639896578,4,4.23279700451606
156986,18089,-102.169,21.0403,0.0,18.29518431902629,8.050153755875577,4,4.147592159513145
156987,18090,-102.041,21.0403,0.0,18.513308722233766,7.797947414666942,4,4.256654361116883
156988,18091,-101.914,21.0403,0.0,19.03817056745172,7.852478515468809,4,4.519085283725859
156989,18092,-101.786,21.0403,0.0,19.37217355986316,7.907009616270676,4,4.68608677993158
156990,18093,-101.658,21.0403,0.0,19.378989947463392,7.722967151064376,4,4.689494973731696
156991,18094,-101.531,21.0403,0.05,18.96319030384916,8.097868469077211,4,4.48159515192458
156992,18095,-101.403,21.0403,0.057,17.783955249008788,8.193297895480478,4,3.8919776245043938
156993,18096,-101.276,21.0403,0.7959999999999999,16.14120583735255,7.573006623859242,4,3.0706029186762756
156994,18097,-101.148,21.0403,2.576,14.716580828903785,7.0072464530398735,4,2.3582904144518935
156995,18098,-101.021,21.0403,2.738,15.827652007741818,7.811580189867411,4,2.913826003870909
156996,18099,-100.893,21.0403,4.665,16.843293760176586,8.874936655503811,4,3.421646880088293
156997,18100,-100.766,21.0403,2.784,16.638802132169587,8.949916919106377,4,3.3194010660847937
156998,18101,-100.638,21.0403,0.415,15.514098178131087,7.8729276782695115,4,2.757049089065543
156999,18102,-100.511,21.0403,2.208,13.878165154075086,7.716150763464142,4,1.9390825770375422
157000,18103,-100.383,21.0403,0.812,13.155628068450351,7.0958594918429085,4,1.5778140342251756
157001,18104,-100.256,21.0403,2.031,12.433090982825613,6.932266189437307,4,1.2165454914128055
157002,18105,-100.128,21.0403,2.612,11.778717773203216,6.979980902638942,4,0.8893588866016078
157003,18106,-100.001,21.0403,8.411,11.696921122000413,7.375331383452475,4,0.8484605610002056
157225,18328,-103.954,21.1593,0.0,21.348925963930824,8.684077802697276,4,5.674462981965412
157226,18329,-103.826,21.1593,0.0,20.06744509508696,7.832029352668109,4,5.03372254754348
157227,18330,-103.699,21.1593,0.0,19.208580257457555,7.457128034655275,4,4.604290128728778
157228,18331,-103.571,21.1593,0.0,19.822055141478554,8.056970143475809,4,4.911027570739277
157229,18332,-103.444,21.1593,0.0,20.81043134351239,9.065795508310345,4,5.405215671756196
157230,18333,-103.316,21.1593,0.0,20.95357548311729,9.488411539524813,4,5.4767877415586455
157231,18334,-103.189,21.1593,0.0,20.50369390150189,9.113510221511977,4,5.251846950750945
157232,18335,-103.061,21.1593,0.0,18.874577265046124,8.411422298687944,4,4.437288632523062
157233,18336,-102.934,21.1593,0.0,18.54739066023492,8.009255430274179,4,4.2736953301174605
157234,18337,-102.806,21.1593,0.0,19.66527822667319,8.656812252296342,4,4.832639113336596
